Cabernet Sauvignon Barton Guestier;Каберне-Совиньон Бартон И Гестье
Le Serre Nuove Ornellaia;Ле Серре Нуове Орнеллайя
Coldisole Brunello di Montalcino;Колдизоле Брунелло Ди Монтальчино
Soave Decordi;Соаве Декорди
Amarone della Valpolicella Classico;Амароне Делла Вальполичелла Классико Аллегрини
Pinot Grigio Torresella;Пино Гриджио Торреселла
Pinot Grigio Rose Torresella;Пино Гриджио Розе Торреселла
Sauvignon Torresella;СовиньонГрижио Торреселла
Chardonnay Torresella;Шардоне Торреселла
Primitivo di Puglia;Примитиво Ди Пулия
Villa Lucia Toscana Bianco IGT;Вилла Лучиа Тоскана
Villa Lucia Toscana Rosso IGT;Вилла Лучиа Тоскана
Isola Grillo Sicilia IGT;Изола Грилло
Freschello Bianco;Фрескелло Бьянко
Barco Reale Di Carmignano Capezzana;Барко Реале Ди Карминьяно Капеццана
Romito Del Romitorio Sant'antimo Castello Romitorio;Ромито Дель Ромиторио Сант'Антимо Кастелло Ромиторио
Brunello Di Montalcino Castello Romitorio;Брунелло Ди Монтальчино Кастелло Ромиторио
Barolo Patrizi DOCG;Бароло Патрици
Barbaresco Patrizi;Барбареско
